address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
61 Ovington Ave,Edison,NJ,08817,269900,968.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/61-Ovington-Ave-Edison-NJ-08817/39065233_zpid/
1 Glenville Rd,Edison,NJ,08817,285500,1208.0,3.0,1.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1-Glenville-Rd-Edison-NJ-08817/39081372_zpid/
9 Melville Rd,Edison,NJ,08817,335000,1423.0,4.0,2.0,1,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/9-Melville-Rd-Edison-NJ-08817/39067884_zpid/
128 Winthrop Rd,Edison,NJ,08817,249900,NA,3.0,1.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/128-Winthrop-Rd-Edison-NJ-08817/39082799_zpid/
8 Baxter Rd,Edison,NJ,08817,224900,NA,3.0,1.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/8-Baxter-Rd-Edison-NJ-08817/39082829_zpid/
58 Hillcrest Ave,Edison,NJ,08817,269900,NA,4.0,1.0,2,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/58-Hillcrest-Ave-Edison-NJ-08817/39065753_zpid/
15 Cherry St,Edison,NJ,08817,499900,NA,4.0,3.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Cherry-St-Edison-NJ-08817/82170866_zpid/
1735 Waterford Dr,Edison,NJ,08817,239900,NA,2.0,2.0,1,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1735-Waterford-Dr-Edison-NJ-08817/39063303_zpid/
78 Fairview Ave,Edison,NJ,08817,369000,NA,3.0,1.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/78-Fairview-Ave-Edison-NJ-08817/39079798_zpid/
9 Dolores Dr,Edison,NJ,08817,499900,NA,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Dolores-Dr-Edison-NJ-08817/39062718_zpid/
31 York Dr APT 4B,Edison,NJ,08817,40000,NA,1.0,1.0,4,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/31-York-Dr-APT-4B-Edison-NJ-08817/2109994124_zpid/
212 Washington Ave,Edison,NJ,08817,255000,1426.0,4.0,2.0,7,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/212-Washington-Ave-Edison-NJ-08817/55544128_zpid/
34 Rodak Cir,Edison,NJ,08817,439000,2085.0,4.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/34-Rodak-Cir-Edison-NJ-08817/39066611_zpid/
91 Redwood Ave,Edison,NJ,08817,183000,829.0,NA,NA,10,Auction,http://www.zillow.com/homes/for_sale//homedetails/91-Redwood-Ave-Edison-NJ-08817/39067141_zpid/
55 Knollwood Rd W,Edison,NJ,08817,449900,2160.0,4.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Knollwood-Rd-W-Edison-NJ-08817/39081178_zpid/
21 Hillcrest Ave,Edison,NJ,08817,335000,NA,3.0,2.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-Hillcrest-Ave-Edison-NJ-08817/39065840_zpid/
